name	address	city	state	zip	url
PANINI PETE'S	42 1/2 South Section St.	Fairhope	AL	36526	https://www.dinersdriveinsdiveslocations.com/panini-petes-alabama.html
GUMBO SHACK	212 Fairhope Ave.	Fairhope	AL	36532	https://www.dinersdriveinsdiveslocations.com/gumbo-shack-alabama.html
MANCI'S ANTIQUE CLUB	1715 Main St.	Daphne	AL	36526	https://www.dinersdriveinsdiveslocations.com/mancis-antique-club-alabama.html
SUNSET POINTE	831 N Section St	Fairhope	AL	36532	https://www.dinersdriveinsdiveslocations.com/sunset-pointe-alabama.html
THE HUMMINGBIRD WAY	351 George St	Mobile	AL	36604	https://www.dinersdriveinsdiveslocations.com/the-hummingbird-way-alabama.html
ROOSTERS	211 Dauphin St	Mobile	AL	36602	https://www.dinersdriveinsdiveslocations.com/roosters-alabama.html
SQUID INK ECLECTIC EATS AND DRINKS	102 Dauphin St	Mobile	AL	36602	https://www.dinersdriveinsdiveslocations.com/squid-ink-eclectic-eats-drinks-alabama.html
ERROR	ERROR	ERROR	ERROR	ERROR	ERROR
PAGODA	431 N Santa Claus Ln	North Pole	AK	99705	https://www.dinersdriveinsdiveslocations.com/pagoda-alaska.html
ELF'S DEN	2556 Mistletoe Dr	North Pole	AK	99705	https://www.dinersdriveinsdiveslocations.com/elfs-den-alaska.html
COUNTRY CAFE	235 N Santa Claus Ln	North Pole	AK	99705	https://www.dinersdriveinsdiveslocations.com/country-cafe-alaska.html
BIG DADDY'S BBQ & BANQUET	107 Wickersham St	Fairbanks	AK	99701	https://www.dinersdriveinsdiveslocations.com/big-daddys-bbq-bnquet-alaska.html
COOKIE JAR	1006 Cadillac Ct	Fairbanks	AK	99701	https://www.dinersdriveinsdiveslocations.com/cookie-jar-alaska.html
SILVER GULCH BREWING	2195 Old Steese Hwy N	Fairbanks	AK	99712	https://www.dinersdriveinsdiveslocations.com/silver-gulch-brewing-alaska.html
PUCKER WILSON'S	311 Whittier St	Juneau	AK	99801	https://www.dinersdriveinsdiveslocations.com/pucker-wilsons-alaska.html
BUN DADDY	350 Whittier St	Juneau	AK	99801	https://www.dinersdriveinsdiveslocations.com/bun-daddy-alaska.html
FORNO ROSSO PIZZERIA	356 S Franklin St	Juneau	AK	99801	https://www.dinersdriveinsdiveslocations.com/forno-rosso-pizzeria-alaska.html
ZERELDA'S BISTRO	9351 Glacier Hwy	Juneau	AK	99801	https://www.dinersdriveinsdiveslocations.com/zereldas-bistro-alaska.html
IN BOCCA AL LUPO	120 2nd St	Juneau	AK	99801	https://www.dinersdriveinsdiveslocations.com/in-bocca-al-lupo-alaska.html
V'S CELLAR DOOR	222 Seward St	Juneau	AK	99801	https://www.dinersdriveinsdiveslocations.com/vs-cellar-door-alaska.html
THE HUNGRY ROBOT	910 Old Steese Hwy, Suite C	Fairbanks	AK	99701	https://www.dinersdriveinsdiveslocations.com/the-hungry-robot-alaska.html
HARI ON CUISINE OF INDIA	1528 S Cushman St	Fairbanks	AK	99701	https://www.dinersdriveinsdiveslocations.com/hari-om-cuisine-of-india-alaska.html
LAVELLE'S BISTRO	575 1st Ave	Fairbanks	AK	99701	https://www.dinersdriveinsdiveslocations.com/lavelles-bistro-alaska.html
MEIN DINER FOOD TRUCK	1951 Fox Avenue	Fairbanks	AK	99701	https://www.dinersdriveinsdiveslocations.com/mein-diner-food-truck-alaska.html
